age,income,score1,score2,score3,gender,product_type,purchased
56,68497.79352226721,53.0,58,73,1,2,0
69,68497.79352226721,63.0,52,53,0,2,1
46,68497.79352226721,65.0,61,114,0,0,0
32,68497.79352226721,59.0,49,64,1,1,0
60,68497.79352226721,36.0,69,72,1,1,0
25,68497.79352226721,49.0,66,56,1,2,1
38,79638.0,85.0,55,107,1,0,0
56,93666.0,65.0,55,107,0,1,1
36,105067.0,43.0,62,102,0,1,0
40,87215.0,73.0,52,89,0,2,0
28,89042.0,48.99597585513079,78,57,0,1,1
28,33284.0,48.99597585513079,63,86,1,0,0
41,92789.0,48.99597585513079,63,69,1,2,1
53,104664.0,30.0,66,96,0,2,1
57,113468.0,21.0,54,92,0,0,1
41,81389.0,64.0,70,57,0,2,0
20,29435.0,50.0,61,88,0,1,1
39,74340.0,51.0,69,83,0,1,0
19,64078.0,44.0,58,14,0,0,1
41,98832.0,46.0,73,86,0,1,1
61,71293.0,43.0,64,61,0,0,1
47,115981.0,40.0,81,52,0,0,0
55,98781.0,44.0,56,53,1,1,0
19,80403.0,43.0,62,67,0,0,0
38,49124.0,37.0,49,79,1,1,1
50,115435.0,41.0,54,42,1,2,0
29,63919.0,12.0,66,73,0,2,0
39,55247.0,60.0,71,81,0,0,1
61,114758.0,55.0,89,107,1,1,0
42,111747.0,48.0,59,48,1,1,0
66,82752.0,53.0,50,63,0,2,0
44,76573.0,54.0,67,75,1,2,0
59,79101.0,39.0,48,92,0,1,0
45,46646.0,42.0,65,63,0,0,0
33,43049.0,57.0,54,93,0,2,0
32,99605.0,53.0,62,31,1,0,0
64,118116.0,80.0,70,44,1,0,1
68,117379.0,74.0,58,76,0,2,0
61,88385.0,63.0,69,41,1,0,0
69,60158.0,38.0,68,46,1,0,1
20,85417.0,41.0,41,59,1,1,0
54,43289.0,34.0,50,85,1,0,0
68,29823.0,54.0,44,32,1,1,1
24,80160.0,8.0,80,73,1,2,1
38,61975.0,43.0,58,90,1,2,1
26,29540.0,45.0,77,66,0,1,1
56,36364.0,27.0,43,62,1,2,1
35,24611.0,61.0,54,78,1,0,0
21,47663.0,32.0,68,66,1,0,1
42,71991.0,54.0,61,97,1,0,0
31,77679.0,91.0,65,47,1,2,1
67,50977.0,25.0,47,68,1,0,0
26,114704.0,47.0,73,74,1,2,0
43,69115.0,43.0,67,62,1,0,0
19,111007.0,40.0,64,12,0,1,1
37,108223.0,61.0,53,66,1,2,0
45,80890.0,66.0,63,88,1,2,1
64,86387.0,61.0,57,85,1,0,1
24,38071.0,39.0,43,77,1,2,0
61,79275.0,86.0,59,48,0,2,1
25,92369.0,23.0,58,77,0,1,1
64,31938.0,34.0,70,58,0,1,1
52,55195.0,52.0,37,77,0,0,0
31,111680.0,51.0,62,72,0,1,0
34,24000.0,57.0,48,50,0,0,0
53,90588.0,73.0,63,52,0,0,0
67,113610.0,48.0,63,77,0,0,1
57,117856.0,51.0,59,65,0,2,0
21,58304.0,41.0,68,53,0,1,1
19,89449.0,58.0,47,51,0,0,0
23,102986.0,45.0,71,63,0,1,0
59,109643.0,45.0,52,101,0,0,1
21,40764.0,58.0,44,59,0,1,1
46,106027.0,65.0,57,69,0,1,0
35,58494.0,16.0,39,72,0,0,0
43,23373.0,55.0,62,47,1,2,0
61,32161.0,45.0,57,34,0,1,0
51,117532.0,64.0,72,49,1,2,0
27,112658.0,46.0,66,74,0,2,0
53,47350.0,69.0,46,71,0,0,0
31,113008.0,39.0,51,84,1,0,1
48,114297.0,16.0,65,71,0,0,0
65,45351.0,65.0,68,67,1,1,0
32,108668.0,37.0,72,57,1,0,0
25,35305.0,26.0,72,87,1,0,1
31,95353.0,50.0,59,51,0,1,1
40,96797.0,46.0,63,47,0,1,0
57,85953.0,62.0,72,81,0,0,1
38,77458.0,63.0,56,43,1,0,0
33,40358.0,51.0,63,118,1,0,0
62,23267.0,36.0,56,71,0,0,0
35,102745.0,54.0,54,76,0,2,0
64,109588.0,52.0,60,53,0,2,1
41,58513.0,58.0,53,63,0,0,1
43,46092.0,36.0,58,61,0,2,0
42,31338.0,43.0,49,59,1,1,1
62,20412.0,57.0,58,82,1,2,0
58,27543.0,68.0,64,61,1,2,0
46,53496.0,64.0,54,90,0,0,0
32,80692.0,51.0,60,123,1,2,0
62,109084.0,42.0,61,64,1,2,0
18,112920.0,56.0,64,73,1,2,0
42,64425.0,33.0,58,77,1,2,0
24,58756.0,37.0,70,106,1,1,0
26,38888.0,72.0,38,68,0,0,1
41,55735.0,56.0,89,53,1,0,0
18,67295.0,44.0,51,44,0,1,1
61,103042.0,62.0,64,68,0,2,0
25,105999.0,69.0,50,61,0,1,1
41,37955.0,43.0,66,110,0,2,1
28,57841.0,43.0,62,105,0,1,1
68,90640.0,41.0,53,49,1,0,0
34,85510.0,64.0,70,55,1,0,1
25,54911.0,64.0,58,71,0,0,0
52,79031.0,70.0,65,97,0,2,0
52,108726.0,65.0,50,71,0,2,0
50,27357.0,25.0,59,57,1,1,0
22,52479.0,54.0,80,68,0,1,0
59,81476.0,34.0,69,57,1,0,1
56,64811.0,42.0,63,82,0,2,1
58,56208.0,52.0,55,55,1,1,0
45,40150.0,62.0,60,59,0,2,1
24,91180.0,36.0,61,93,1,2,0
26,63286.0,15.0,64,54,0,0,1
25,88450.0,52.0,49,41,1,0,0
29,41352.0,89.0,66,71,1,2,0
51,75069.0,46.0,49,62,1,2,1
50,34397.0,50.0,76,80,1,2,1
65,61555.0,76.0,52,76,1,2,1
40,66959.0,58.0,62,69,1,0,1
41,20728.0,53.0,70,68,1,1,1
54,70517.0,56.0,57,55,0,0,1
52,86234.0,53.0,63,71,0,1,1
61,59954.0,32.0,74,87,0,2,1
57,67280.0,29.0,65,50,0,1,0
39,99459.0,78.0,63,69,0,0,1
44,36779.0,52.0,43,90,1,0,0
52,83932.0,51.0,50,80,1,2,1
18,92936.0,48.0,70,96,1,0,1
52,44466.0,61.0,65,58,1,2,1
54,56939.0,88.0,67,33,1,0,1
64,89896.0,57.0,66,74,0,0,1
31,55270.0,41.0,72,77,0,2,0
20,79163.0,47.0,57,97,0,1,1
18,102637.0,66.0,61,93,0,0,0
22,71934.0,41.0,49,80,1,1,0
43,84895.0,62.0,47,85,1,0,0
31,52307.0,15.0,43,66,1,0,0
56,74098.0,46.0,51,45,0,0,0
44,80921.0,59.0,75,72,1,0,1
26,25486.0,69.0,44,89,0,1,0
32,28335.0,37.0,56,83,1,1,0
32,106900.0,27.0,47,86,1,0,0
43,109112.0,46.0,53,61,0,0,0
59,117203.0,33.0,61,64,1,1,1
30,31130.0,47.0,52,79,1,2,0
68,107508.0,49.0,70,59,0,2,0
49,80566.0,30.0,75,59,1,1,0
56,86703.0,62.0,37,75,0,0,0
66,47192.0,47.0,53,85,1,0,0
69,21062.0,66.0,60,66,1,2,0
49,104076.0,22.0,71,46,1,2,1
21,109780.0,34.0,55,55,1,1,1
47,41545.0,57.0,59,74,1,2,0
54,41689.0,38.0,48,73,1,1,1
40,31174.0,47.0,44,74,1,2,0
56,108461.0,50.0,74,80,1,2,0
62,29348.0,52.0,41,70,0,2,1
32,43714.0,39.0,83,75,0,0,0
60,58102.0,52.0,67,69,1,0,1
46,94460.0,38.0,66,92,1,0,0
53,109930.0,60.0,65,98,0,2,0
30,26801.0,48.0,57,46,1,1,0
49,92267.0,52.0,63,64,1,1,1
24,68136.0,88.0,58,70,0,1,1
68,43625.0,33.0,65,64,1,1,1
39,102873.0,70.0,59,105,1,0,0
45,92592.0,10.0,50,74,0,0,0
19,97052.0,18.0,51,53,1,2,0
59,64261.0,31.0,50,81,1,2,0
62,21542.0,32.0,69,75,0,1,1
23,41677.0,53.0,53,76,1,0,0
45,66732.0,54.0,40,106,0,1,1
45,70343.0,46.0,63,77,1,2,1
61,59081.0,47.0,75,63,1,2,0
61,82856.0,57.0,67,30,0,1,1
37,113105.0,62.0,53,66,0,2,0
47,108858.0,30.0,44,96,1,1,0
28,39065.0,44.0,58,68,0,0,0
45,103460.0,48.0,58,25,0,1,0
42,108092.0,57.0,50,60,1,0,0
56,74693.0,38.0,65,89,1,0,0
50,46962.0,48.0,78,80,1,2,0
18,48295.0,50.0,62,53,0,2,0
44,33807.0,39.0,61,58,0,2,1
69,62348.0,39.0,50,61,0,1,1
30,46432.0,51.0,73,56,0,1,0
58,103285.0,48.0,59,29,1,2,0
20,111792.0,57.0,54,85,0,1,1
56,77854.0,34.0,60,95,1,2,0
23,60262.0,44.0,64,39,0,1,1
25,57080.0,46.0,61,94,1,0,0
44,21324.0,62.0,72,67,1,0,0
26,111267.0,35.0,63,94,1,2,0
54,55909.0,53.0,57,70,0,1,0
50,109339.0,53.0,64,72,1,1,1
68,39870.0,74.0,64,77,1,0,0
59,54578.0,34.0,47,54,0,0,1
61,92124.0,40.0,71,93,1,2,1
41,46790.0,35.0,56,47,0,0,0
32,45289.0,24.0,57,61,0,2,1
49,75129.0,76.0,67,80,1,0,0
49,113714.0,31.0,67,59,1,0,0
41,114246.0,37.0,52,85,0,1,1
58,35485.0,69.0,68,97,1,0,0
69,64482.0,23.0,54,90,0,0,0
66,106188.0,61.0,78,31,0,2,0
66,24748.0,28.0,51,72,0,0,0
69,106769.0,68.0,62,90,1,2,1
29,29435.0,17.0,52,43,0,0,1
56,23709.0,23.0,82,84,1,0,1
19,50355.0,41.0,47,83,1,2,1
20,75771.0,64.0,65,45,1,1,0
66,77799.0,49.0,52,86,1,2,0
54,33116.0,44.0,56,75,0,2,0
66,45470.0,70.0,64,83,1,2,0
34,62344.0,82.0,72,50,0,1,0
66,62918.0,60.0,76,73,0,0,1
19,72224.0,40.0,44,35,1,2,0
19,59298.0,43.0,62,24,0,2,0
45,100219.0,30.0,74,72,0,1,0
40,81629.0,51.0,43,92,1,2,1
54,86040.0,25.0,63,75,0,0,1
49,119518.0,58.0,59,68,0,1,0
50,119835.0,80.0,64,66,0,0,0
18,48016.0,60.0,52,51,0,0,1
36,43960.0,42.0,45,65,1,1,0
19,53591.0,57.0,40,78,0,2,0
61,102848.0,74.0,69,61,0,0,1
43,87641.0,73.0,71,85,0,0,1
49,56395.0,34.0,63,73,0,0,0
23,42700.0,57.0,54,76,1,0,1
49,54620.0,47.0,43,87,0,1,1
21,40559.0,62.0,65,59,1,1,0
28,113045.0,55.0,48,83,0,0,1
34,113396.0,14.0,52,62,1,2,1
55,81642.0,44.0,54,76,1,0,1
41,96539.0,52.0,58,57,1,2,1
22,41732.0,28.0,52,51,1,0,0
69,111362.0,58.0,60,71,1,2,0
51,50354.0,27.0,53,32,0,0,0
