age,income,score1,score2,score3,gender,product_type,purchased
56,23343,53,58,73,Male,C,0
69,33500,63,52,53,Female,C,1
46,73222,65,61,114,Female,A,0
32,49375,59,49,64,Male,B,0
60,29662,36,69,72,Male,B,0
25,36964,49,66,56,Male,C,1
38,79638,85,55,107,Male,A,0
56,93666,65,55,107,Female,B,1
36,105067,43,62,102,Female,B,0
40,87215,73,52,89,Female,C,0
28,89042,44,78,57,Female,B,1
28,33284,39,63,86,Male,A,0
41,92789,70,63,69,Male,C,1
53,104664,30,66,96,Female,C,1
57,113468,21,54,92,Female,A,1
41,81389,64,70,57,Female,C,0
20,29435,50,61,88,Female,B,1
39,74340,51,69,83,Female,B,0
19,64078,44,58,14,Female,A,1
41,98832,46,73,86,Female,B,1
61,71293,43,64,61,Female,A,1
47,115981,40,81,52,Female,A,0
55,98781,44,56,53,Male,B,0
19,80403,43,62,67,Female,A,0
38,49124,37,49,79,Male,B,1
50,115435,41,54,42,Male,C,0
29,63919,12,66,73,Female,C,0
39,55247,60,71,81,Female,A,1
61,114758,55,89,107,Male,B,0
42,111747,48,59,48,Male,B,0
66,82752,53,50,63,Female,C,0
44,76573,54,67,75,Male,C,0
59,79101,39,48,92,Female,B,0
45,46646,42,65,63,Female,A,0
33,43049,57,54,93,Female,C,0
32,99605,53,62,31,Male,A,0
64,118116,80,70,44,Male,A,1
68,117379,74,58,76,Female,C,0
61,88385,63,69,41,Male,A,0
69,60158,38,68,46,Male,A,1
20,85417,41,41,59,Male,B,0
54,43289,34,50,85,Male,A,0
68,29823,54,44,32,Male,B,1
24,80160,8,80,73,Male,C,1
38,61975,43,58,90,Male,C,1
26,29540,45,77,66,Female,B,1
56,36364,27,43,62,Male,C,1
35,24611,61,54,78,Male,A,0
21,47663,32,68,66,Male,A,1
42,71991,54,61,97,Male,A,0
31,77679,91,65,47,Male,C,1
67,50977,25,47,68,Male,A,0
26,114704,47,73,74,Male,C,0
43,69115,43,67,62,Male,A,0
19,111007,40,64,12,Female,B,1
37,108223,61,53,66,Male,C,0
45,80890,66,63,88,Male,C,1
64,86387,61,57,85,Male,A,1
24,38071,39,43,77,Male,C,0
61,79275,86,59,48,Female,C,1
25,92369,23,58,77,Female,B,1
64,31938,34,70,58,Female,B,1
52,55195,52,37,77,Female,A,0
31,111680,51,62,72,Female,B,0
34,24000,57,48,50,Female,A,0
53,90588,73,63,52,Female,A,0
67,113610,48,63,77,Female,A,1
57,117856,51,59,65,Female,C,0
21,58304,41,68,53,Female,B,1
19,89449,58,47,51,Female,A,0
23,102986,45,71,63,Female,B,0
59,109643,45,52,101,Female,A,1
21,40764,58,44,59,Female,B,1
46,106027,65,57,69,Female,B,0
35,58494,16,39,72,Female,A,0
43,23373,55,62,47,Male,C,0
61,32161,45,57,34,Female,B,0
51,117532,64,72,49,Male,C,0
27,112658,46,66,74,Female,C,0
53,47350,69,46,71,Female,A,0
31,113008,39,51,84,Male,A,1
48,114297,16,65,71,Female,A,0
65,45351,65,68,67,Male,B,0
32,108668,37,72,57,Male,A,0
25,35305,26,72,87,Male,A,1
31,95353,50,59,51,Female,B,1
40,96797,46,63,47,Female,B,0
57,85953,62,72,81,Female,A,1
38,77458,63,56,43,Male,A,0
33,40358,51,63,118,Male,A,0
62,23267,36,56,71,Female,A,0
35,102745,54,54,76,Female,C,0
64,109588,52,60,53,Female,C,1
41,58513,58,53,63,Female,A,1
43,46092,36,58,61,Female,C,0
42,31338,43,49,59,Male,B,1
62,20412,57,58,82,Male,C,0
58,27543,68,64,61,Male,C,0
46,53496,64,54,90,Female,A,0
32,80692,51,60,123,Male,C,0
62,109084,42,61,64,Male,C,0
18,112920,56,64,73,Male,C,0
42,64425,33,58,77,Male,C,0
24,58756,37,70,106,Male,B,0
26,38888,72,38,68,Female,A,1
41,55735,56,89,53,Male,A,0
18,67295,44,51,44,Female,B,1
61,103042,62,64,68,Female,C,0
25,105999,69,50,61,Female,B,1
41,37955,43,66,110,Female,C,1
28,57841,43,62,105,Female,B,1
68,90640,41,53,49,Male,A,0
34,85510,64,70,55,Male,A,1
25,54911,64,58,71,Female,A,0
52,79031,70,65,97,Female,C,0
52,108726,65,50,71,Female,C,0
50,27357,25,59,57,Male,B,0
22,52479,54,80,68,Female,B,0
59,81476,34,69,57,Male,A,1
56,64811,42,63,82,Female,C,1
58,56208,52,55,55,Male,B,0
45,40150,62,60,59,Female,C,1
24,91180,36,61,93,Male,C,0
26,63286,15,64,54,Female,A,1
25,88450,52,49,41,Male,A,0
29,41352,89,66,71,Male,C,0
51,75069,46,49,62,Male,C,1
50,34397,50,76,80,Male,C,1
65,61555,76,52,76,Male,C,1
40,66959,58,62,69,Male,A,1
41,20728,53,70,68,Male,B,1
54,70517,56,57,55,Female,A,1
52,86234,53,63,71,Female,B,1
61,59954,32,74,87,Female,C,1
57,67280,29,65,50,Female,B,0
39,99459,78,63,69,Female,A,1
44,36779,52,43,90,Male,A,0
52,83932,51,50,80,Male,C,1
18,92936,48,70,96,Male,A,1
52,44466,61,65,58,Male,C,1
54,56939,88,67,33,Male,A,1
64,89896,57,66,74,Female,A,1
31,55270,41,72,77,Female,C,0
20,79163,47,57,97,Female,B,1
18,102637,66,61,93,Female,A,0
22,71934,41,49,80,Male,B,0
43,84895,62,47,85,Male,A,0
31,52307,15,43,66,Male,A,0
56,74098,46,51,45,Female,A,0
44,80921,59,75,72,Male,A,1
26,25486,69,44,89,Female,B,0
32,28335,37,56,83,Male,B,0
32,106900,27,47,86,Male,A,0
43,109112,46,53,61,Female,A,0
59,117203,33,61,64,Male,B,1
30,31130,47,52,79,Male,C,0
68,107508,49,70,59,Female,C,0
49,80566,30,75,59,Male,B,0
56,86703,62,37,75,Female,A,0
66,47192,47,53,85,Male,A,0
69,21062,66,60,66,Male,C,0
49,104076,22,71,46,Male,C,1
21,109780,34,55,55,Male,B,1
47,41545,57,59,74,Male,C,0
54,41689,38,48,73,Male,B,1
40,31174,47,44,74,Male,C,0
56,108461,50,74,80,Male,C,0
62,29348,52,41,70,Female,C,1
32,43714,39,83,75,Female,A,0
60,58102,52,67,69,Male,A,1
46,94460,38,66,92,Male,A,0
53,109930,60,65,98,Female,C,0
30,26801,48,57,46,Male,B,0
49,92267,52,63,64,Male,B,1
24,68136,88,58,70,Female,B,1
68,43625,33,65,64,Male,B,1
39,102873,70,59,105,Male,A,0
45,92592,10,50,74,Female,A,0
19,97052,18,51,53,Male,C,0
59,64261,31,50,81,Male,C,0
62,21542,32,69,75,Female,B,1
23,41677,53,53,76,Male,A,0
45,66732,54,40,106,Female,B,1
45,70343,46,63,77,Male,C,1
61,59081,47,75,63,Male,C,0
61,82856,57,67,30,Female,B,1
37,113105,62,53,66,Female,C,0
47,108858,30,44,96,Male,B,0
28,39065,44,58,68,Female,A,0
45,103460,48,58,25,Female,B,0
42,108092,57,50,60,Male,A,0
56,74693,38,65,89,Male,A,0
50,46962,48,78,80,Male,C,0
18,48295,50,62,53,Female,C,0
44,33807,39,61,58,Female,C,1
69,62348,39,50,61,Female,B,1
30,46432,51,73,56,Female,B,0
58,103285,48,59,29,Male,C,0
20,111792,57,54,85,Female,B,1
56,77854,34,60,95,Male,C,0
23,60262,44,64,39,Female,B,1
25,57080,46,61,94,Male,A,0
44,21324,62,72,67,Male,A,0
26,111267,35,63,94,Male,C,0
54,55909,53,57,70,Female,B,0
50,109339,53,64,72,Male,B,1
68,39870,74,64,77,Male,A,0
59,54578,34,47,54,Female,A,1
61,92124,40,71,93,Male,C,1
41,46790,35,56,47,Female,A,0
32,45289,24,57,61,Female,C,1
49,75129,76,67,80,Male,A,0
49,113714,31,67,59,Male,A,0
41,114246,37,52,85,Female,B,1
58,35485,69,68,97,Male,A,0
69,64482,23,54,90,Female,A,0
66,106188,61,78,31,Female,C,0
66,24748,28,51,72,Female,A,0
69,106769,68,62,90,Male,C,1
29,29435,17,52,43,Female,A,1
56,23709,23,82,84,Male,A,1
19,50355,41,47,83,Male,C,1
20,75771,64,65,45,Male,B,0
66,77799,49,52,86,Male,C,0
54,33116,44,56,75,Female,C,0
66,45470,70,64,83,Male,C,0
34,62344,82,72,50,Female,B,0
66,62918,60,76,73,Female,A,1
19,72224,40,44,35,Male,C,0
19,59298,43,62,24,Female,C,0
45,100219,30,74,72,Female,B,0
40,81629,51,43,92,Male,C,1
54,86040,25,63,75,Female,A,1
49,119518,58,59,68,Female,B,0
50,119835,80,64,66,Female,A,0
18,48016,60,52,51,Female,A,1
36,43960,42,45,65,Male,B,0
19,53591,57,40,78,Female,C,0
61,102848,74,69,61,Female,A,1
43,87641,73,71,85,Female,A,1
49,56395,34,63,73,Female,A,0
23,42700,57,54,76,Male,A,1
49,54620,47,43,87,Female,B,1
21,40559,62,65,59,Male,B,0
28,113045,55,48,83,Female,A,1
34,113396,14,52,62,Male,C,1
55,81642,44,54,76,Male,A,1
41,96539,52,58,57,Male,C,1
22,41732,28,52,51,Male,A,0
69,111362,58,60,71,Male,C,0
51,50354,27,53,32,Female,A,0
23,33843,38,67,64,Female,C,0
39,91726,70,70,37,Female,A,0
28,37640,36,61,85,Male,A,1
65,72528,58,64,91,Female,C,1
33,58413,23,81,52,Male,B,1
50,72638,81,48,78,Male,C,1
26,72736,45,47,87,Female,B,1
23,88866,51,66,88,Female,A,0
33,39087,52,79,74,Male,C,0
46,61430,59,57,84,Male,C,0
20,44504,27,77,57,Female,C,1
37,27114,49,60,71,Female,B,0
53,98859,40,53,60,Female,B,1
36,119657,24,50,55,Female,A,0
43,30975,64,66,70,Male,B,1
20,31023,44,50,76,Female,B,1
36,41447,53,60,93,Female,A,1
37,110469,52,75,75,Female,C,1
49,43959,44,56,82,Male,C,1
24,86203,79,73,83,Male,A,1
69,49703,49,47,123,Male,C,1
58,29337,26,54,33,Male,B,1
50,66427,43,45,56,Female,A,1
57,81529,57,60,99,Male,A,0
56,104665,57,67,62,Female,A,0
35,51921,33,60,87,Female,C,0
57,53307,63,72,74,Female,A,0
18,47355,23,52,112,Female,A,0
28,24835,67,62,47,Male,A,1
45,40159,30,54,94,Male,C,1
42,67605,46,63,104,Male,B,1
67,58088,65,65,49,Female,A,0
40,98752,51,65,85,Female,B,0
48,75284,62,49,50,Female,C,0
47,77043,59,51,70,Female,C,0
59,55547,69,52,64,Female,C,0
52,117007,65,57,21,Male,C,0
24,102844,43,60,78,Female,B,1
33,47532,59,67,72,Male,A,1
43,54349,27,51,99,Female,C,0
65,65445,49,43,82,Female,C,0
69,25713,62,81,115,Male,B,0
66,76178,52,48,72,Male,B,0
19,69407,56,68,67,Female,C,1
18,90340,46,60,66,Female,A,0
65,70990,66,62,61,Female,A,0
29,95672,48,59,25,Female,C,0
22,85545,43,56,65,Male,B,0
54,104791,63,64,28,Female,C,1
49,78141,28,55,79,Male,C,1
26,43793,57,71,45,Female,B,1
58,76570,34,65,52,Male,C,0
52,115084,69,65,56,Male,C,0
36,57892,46,54,65,Female,C,0
65,21015,52,57,70,Male,B,1
33,81813,56,48,91,Female,A,0
20,47712,21,56,58,Male,A,0
